skill_rating,assists.defensiveAssists,assists.healingDone,assists.offensiveAssists,average.allDamageDoneAvgPer10Min,average.barrierDamageDoneAvgPer10Min,average.deathsAvgPer10Min,average.eliminationsAvgPer10Min,average.finalBlowsAvgPer10Min,average.healingDoneAvgPer10Min,average.heroDamageDoneAvgPer10Min,average.objectiveKillsAvgPer10Min,average.objectiveTimeAvgPer10Min,average.soloKillsAvgPer10Min,average.timeSpentOnFireAvgPer10Min,best.allDamageDoneMostInGame,best.barrierDamageDoneMostInGame,best.defensiveAssistsMostInGame,best.eliminationsMostInGame,best.environmentalKillsMostInGame,best.finalBlowsMostInGame,best.healingDoneMostInGame,best.heroDamageDoneMostInGame,best.killsStreakBest,best.meleeFinalBlowsMostInGame,best.multikillsBest,best.objectiveKillsMostInGame,best.objectiveTimeMostInGame,best.offensiveAssistsMostInGame,best.soloKillsMostInGame,best.teleporterPadsDestroyedMostInGame,best.timeSpentOnFireMostInGame,best.turretsDestroyedMostInGame,combat.barrierDamageDone,combat.damageDone,combat.deaths,combat.eliminations,combat.environmentalKills,combat.finalBlows,combat.heroDamageDone,combat.meleeFinalBlows,combat.multikills,combat.objectiveKills,combat.objectiveTime,combat.soloKills,combat.timeSpentOnFire,game.gamesLost,game.gamesPlayed,game.gamesTied,game.gamesWon,game.timePlayed,matchAwards.cards,matchAwards.medals,matchAwards.medalsBronze,matchAwards.medalsGold,matchAwards.medalsSilver,miscellaneous.teleporterPadsDestroyed,miscellaneous.turretsDestroyed,assists.reconAssists,best.reconAssistsMostInGame,top_hero,games_played,rank,top_hero_type
2535,208,113872,16,10696,2132,7.41,22.31,12.76,878,8223,9.18,52,3.53,76,27906,12549,10,60,1,36,3354,20399,60,4,4,30,280,5,36,1,482,22,276462,1066469,961,2894,1,1655,1066469,33,24,1190,6692,458,9869,55,114,3,56,77817,58,354,97,169,88,5,134,2,2,soldier76,114,26698,damage
3815,26,461978,683,11647,4929,6.47,20.3,11.25,4094,6490,8.15,78,2.14,76,29403,14998,20,56,5,30,9320,17370,56,5,3,35,377,46,30,1,353,11,556147,732220,730,2291,32,1269,732220,153,11,920,8793,241,8592,59,102,2,41,67698,26,395,143,112,140,4,59,0,0,roadhog,61,1062,tank
2909,5,16315,30,10539,2498,8.67,20.87,13.11,500,7773,6.62,39,3.34,68,19787,6376,2,40,2,30,3072,14664,40,3,4,18,169,13,30,0,305,3,81535,253681,283,681,3,428,253681,4,6,216,1263,109,2217,14,28,1,13,19581,7,68,20,33,15,0,16,1,1,mccree,79,13572,damage
1735,557,332625,303,7440,2264,6.89,18.1,6.18,6226,4977,8.69,76,1.1,69,15654,7599,29,40,4,17,13869,10388,40,1,3,23,257,27,17,0,307,11,120961,265889,368,967,9,330,265889,4,4,464,4066,59,3660,21,50,0,29,32053,27,143,41,54,48,0,67,0,0,lucio,104,46831,support
2226,412,232656,448,10886,3869,8.39,18.02,8.11,1834,6678,8.2,72,2.1,55,34722,14691,36,52,2,35,14433,20662,52,1,5,29,369,21,35,3,518,9,490741,847049,1064,2286,20,1029,847049,2,30,1040,9082,266,6990,56,112,3,53,76108,29,269,95,83,91,9,74,4,4,junkrat,193,37541,damage
3415,0,2440,8,19854,9676,5.29,31.75,15.87,3228,10121,11.91,45,3.97,154,15009,7315,0,24,0,12,2440,7651,24,3,3,9,34,8,12,0,116,0,7315,7651,4,24,0,12,7651,3,1,9,34,3,116,0,1,0,1,454,1,5,2,2,1,0,0,0,0,roadhog,67,3923,tank
2952,96,133447,218,12583,5100,7.02,19.9,8.71,3522,7286,8.79,80,0.82,55,31611,15088,35,64,2,32,10111,18101,64,7,4,31,302,20,32,1,526,4,193200,276018,266,754,5,330,276018,29,4,333,3022,31,2082,14,34,0,20,22731,11,127,44,43,40,1,20,0,0,roadhog,87,12410,tank
2662,441,224736,293,8339,2478,8.28,17.37,7.09,2675,5598,7,70,1.43,56,26823,11658,40,44,1,22,14990,13810,44,5,4,22,283,22,22,1,324,12,208185,470283,696,1459,2,596,470283,45,17,588,5919,120,4698,35,71,2,34,50410,18,163,59,52,52,1,85,2,2,ana,162,21725,support
1775,0,1806,11,10150,2044,6.34,21.47,11.06,171,7717,9.08,64,2.08,56,24243,6076,0,41,2,23,1293,18011,41,2,3,20,121,9,23,3,225,7,21620,81603,67,227,2,117,81603,3,2,96,677,22,589,1,10,0,9,6345,1,21,5,5,11,3,17,0,0,reinhardt,82,46410,tank
3021,498,282644,192,6994,2760,7.27,13.46,2.79,7446,4028,7.27,88,0.11,53,19571,9704,41,33,1,8,20927,10263,33,1,4,21,289,25,8,0,286,2,104785,152884,276,511,2,106,152884,2,7,276,3326,4,2027,17,29,2,10,22776,18,68,16,29,23,0,7,0,0,moira,121,10002,support
3059,52,66563,61,11105,2241,8.72,23.3,13.31,2110,8608,8.37,57,3.61,119,27500,7750,30,50,3,30,8785,19033,50,2,3,20,244,10,30,1,424,9,70695,271520,275,735,5,420,271520,14,3,264,1803,114,3741,14,29,0,15,18927,10,86,26,32,28,1,24,5,3,roadhog,346,9035,tank
2532,23,25777,65,10693,3398,7.18,17.56,9.29,1129,7002,8.23,64,1.71,77,26504,10893,8,42,0,25,5922,17088,42,2,5,26,226,14,25,0,362,2,77572,159872,164,401,0,212,159872,6,7,188,1471,39,1757,9,17,0,8,13699,5,46,18,15,13,0,4,0,0,mccree,24,26817,damage
2228,337,149881,86,7169,1299,9.35,16.63,9.35,1461,5700,6.95,56,2.72,57,24616,6226,33,52,2,31,10343,17310,52,1,4,23,313,8,31,1,511,11,133241,584689,959,1706,9,959,584689,9,15,713,5740,279,5843,42,91,2,47,61541,14,188,58,50,80,3,83,19,13,widowmaker,78,37489,damage
1977,202,88280,49,8773,3786,7.55,17.03,6.75,2837,4703,8.55,107,1.06,44,24346,13797,37,50,1,23,12385,12926,50,2,5,37,364,20,23,1,247,7,117812,146341,235,530,3,210,146341,6,11,266,3334,33,1379,13,27,1,13,18671,10,69,21,30,18,1,35,0,0,dVa,154,43627,tank
1749,187,104039,77,7221,1897,7.1,19.04,6.04,4795,5153,10.05,84,1.06,59,30212,14973,26,42,2,24,14130,14710,42,0,3,24,294,18,24,0,281,4,41145,111796,154,413,3,131,111796,0,7,218,1832,23,1279,9,19,0,10,13017,10,55,7,28,20,0,10,0,0,moira,39,46664,support
3016,25,6409,53,11967,4268,7.57,19.37,6.84,522,7360,8.22,87,0.81,83,24473,14278,8,35,0,21,3140,12902,35,1,3,22,315,15,21,0,290,5,52436,90423,93,238,0,84,90423,1,2,101,1072,10,1017,4,12,0,8,7371,5,38,17,15,6,0,11,0,0,reinhardt,35,10168,tank
3054,0,386,5,12997,3684,8.81,21.78,12.5,17.99,8973,8.53,69,2.47,84,36738,15671,0,55,0,32,247,20863,55,1,3,25,273,3,32,1,373,15,79003,192429,189,467,0,268,192429,1,5,183,1483,53,1796,7,17,0,10,12868,7,46,11,26,9,1,39,14,9,ashe,237,9145,damage
3054,82,45675,63,10210,2110,6.37,25.03,12.86,1447,8031,9.54,48,3.14,89,28409,11091,17,55,0,30,13016,22479,55,2,5,30,183,19,30,1,333,2,66605,253446,201,790,0,406,253446,6,7,301,1518,99,2807,8,27,1,18,18936,15,80,16,51,13,1,5,6,6,soldier76,27,9145,damage
2552,84,47132,71,12084,4074,8.26,19.65,10.46,913,7636,7.58,41,2.42,59,33535,20151,16,51,6,30,5700,19869,51,1,4,27,218,13,30,1,405,7,210232,394060,426,1014,7,540,394060,1,11,391,2114,125,3043,26,46,2,18,30962,16,131,31,54,46,1,60,11,11,bastion,54,25985,damage
1971,416,260601,93,6449,1649,5.66,16.34,6.1,6307,4642,8.18,70,0.73,70,15431,8257,32,48,2,23,17925,12879,48,1,4,25,309,12,23,0,383,7,68129,191805,234,675,5,252,191805,1,7,338,2900,30,2902,16,33,2,15,24791,20,88,23,46,19,0,56,0,0,lucio,37,43735,support
2896,0,0,0,11858,3584,10.77,13.46,10.77,0,7487,1.79,21,0.9,0,13217,3994,0,15,0,12,0,8344,15,1,0,2,23,0,12,0,0,1,3994,8344,12,15,0,12,8344,1,0,2,23,1,0,1,1,0,0,669,0,2,0,2,0,0,1,7,7,widowmaker,38,13951,damage
2797,955,585803,378,5901,2360,7.65,12.2,2.84,7931,3346,6.34,103,0.35,62,14887,6797,51,32,3,10,19704,9707,32,2,3,21,392,23,10,2,330,10,174332,247130,565,901,15,210,247130,13,2,468,7638,26,4574,27,58,1,30,44320,9,126,29,25,72,2,35,0,0,lucio,179,16991,support
