Rank,Gamer,Skill Rating,# Games,page_number
1,"Y-Z-N_SA
4685","Top 1%


4,685",249,1
2,"SoraHeartly
4648","Top 1%


4,648",66,1
3,"CODCode904
4603","Top 1%


4,603",30,1
4,"Vezifyyy
4600","Top 1%


4,600",27,1
5,"Mercy
4582","Top 1%


4,582",43,1
6,"iRobbStark
4553","Top 1%


4,553",97,1
7,"iKxKK
4522","Top 1%


4,522",78,1
8,"FuzeM8
4417","Top 1%


4,417",46,1
8,"Appelsauce01
4417","Top 1%


4,417",114,1
10,"BIGBOSS-_-q8
4416","Top 1%


4,416",39,1
10,"C0LLXN--
4416","Top 1%


4,416",68,1
12,"The_Teawreks
4409","Top 1%


4,409",14,1
13,"Punisher__02
4396","Top 1%


4,396",393,1
14,"nikoblaf
4394","Top 1%


4,394",25,1
15,"Mortal
4390","Top 1%


4,390",37,1
16,"Vex_Armour
4378","Top 1%


4,378",39,1
17,"Smokeynypd
4375","Top 1%


4,375",170,1
17,"THUNDERBIRDENZO
4375","Top 1%


4,375",85,1
19,"SKRRSKRRx
4373","Top 1%


4,373",88,1
20,"p1ckleguy
4370","Top 1%


4,370",38,1
21,"Curiious--
4362","Top 1%


4,362",70,1
22,"vikes281269
4358","Top 1%


4,358",284,1
23,"Meraakii
4355","Top 1%


4,355",26,1
24,"AboTrEnd
4354","Top 1%


4,354",33,1
25,"xMeijor-Skillsx
4351","Top 1%


4,351",161,1
26,"ohBleu
4347","Top 1%


4,347",54,1
27,"SnipKw
4342","Top 1%


4,342",113,1
28,"WxZiR
4340","Top 1%


4,340",23,1
29,"xlMajor-Skillslx
4339","Top 1%


4,339",192,1
30,"cito1
4337","Top 1%


4,337",31,1
31,"Samyuhl
4334","Top 1%


4,334",45,1
32,"BestSymmetra
4326","Top 1%


4,326",40,1
33,"Ceasariam1
4324","Top 1%


4,324",89,1
34,"OG_Spuggz
4320","Top 1%


4,320",29,1
35,"xxMERCYMEINxx
4318","Top 1%


4,318",86,1
35,"Candyy-x
4318","Top 1%


4,318",51,1
35,"Lime232
4318","Top 1%


4,318",97,1
38,"Anamei-
4309","Top 1%


4,309",53,1
38,"kitty-kingdom
4309","Top 1%


4,309",16,1
40,"DatFatRat
4304","Top 1%


4,304",174,1
41,"Boto-PekPek
4301","Top 1%


4,301",71,1
42,"S-Ranx
4295","Top 1%


4,295",140,1
43,"F_NKD_
4293","Top 1%
 

4,293",85,1
44,"MercyyKills
4289","Top 1%


4,289",49,1
45,"Xuteq
4286","Top 1%


4,286",325,1
46,"LEO_MERKSALOT
4269","Top 1%


4,269",268,1
47,"EvanMario
4261","Top 1%


4,261",236,1
47,"UnrelentingBear
4261","Top 1%


4,261",121,1
47,"GHOST-ZERO32
4261","Top 1%


4,261",189,1
50,"SsbmHax
4259","Top 1%


4,259",78,1
51,"Vasock
4258","Top 1%


4,258",13,1
52,"lowkeypharah
4256","Top 1%


4,256",54,1
53,"MeshalXr
4255","Top 1%


4,255",62,1
54,"Banana_Man367
4251","Top 1%


4,251",510,1
55,"AlwaysAldo
4249","Top 1%


4,249",44,1
56,"v_Miles
4248","Top 1%


4,248",60,1
57,"DARKLIGHT945
4245","Top 1%


4,245",249,1
58,"TracerTranquil
4244","Top 1%


4,244",79,1
59,"Libxro
4242","Top 1%


4,242",27,1
59,"HammondF
4242","Top 1%


4,242",134,1
61,"LadyAverelynn
4239","Top 1%


4,239",85,1
61,"NOMAD__13
4239","Top 1%


4,239",120,1
63,"cmdsoccerfan
4237","Top 1%


4,237",109,1
64,"zApxIIo
4236","Top 1%


4,236",46,1
64,"nikolabff
4236","Top 1%


4,236",81,1
66,"BizzyxThexKid
4235","Top 1%


4,235",26,1
67,"Paradoxed_Angel
4234","Top 1%


4,234",25,1
67,"Fluffy_Swaggins
 4234","Top 1%


4,234",109,1
69,"ToRepresent_
4231","Top 1%


4,231",291,1
70,"BigDaddyTorbjon
4226","Top 1%


4,226",190,1
71,"Tarkenn
4224","Top 1%


4,224",50,1
72,"Hmassq8
4223","Top 1%


4,223",53,1
73,"Nearzam
4222","Top 1%


4,222",75,1
74,"BRUINS1234567891
4220","Top 1%


4,220",69,1
75,"KephWurry
4215","Top 1%


4,215",29,1
75,"Wolfsilvergem
4215","Top 1%


4,215",74,1
77,"alhjlhr
4213","Top 1%


4,213",61,1
78,"DOSLuck
4210","Top 1%


4,210",40,1
79,"Gamermoses00
4209","Top 1%


4,209",55,1
79,"Bxnquo
4209","Top 1%


4,209",75,1
79,"ilovemissmeteora
4209","Top 1%


4,209",159,1
82,"Azo0zAli675
4201","Top 1%


4,201",208,1
83,"NoMercy_oxox
4200","Top 1%


4,200",44,1
84,"OP-Mesho
4196","Top 1%


4,196",177,1
85,"DiamondDogs727
4193","Top 1%


4,193",27,1
86,"ELEMENT_RAVENOUS
4192","Top 1%


4,192",57,1
86,"Kephrii_consl
4192","Top 1%


4,192",103,1
88,"Aimbot-CalvinJr
4182","Top 1%


4,182",24,1
89,"Hyqi
4181","Top 1%


4,181",363,1
90,"ShakeAndBake5129
4180","Top 1%


4,180",58,1
91,"Pr0j3ct1leG0D
4178","Top 1%


4,178",296,1
92,"The_Rad_Dawg
4176","Top 1%


4,176",23,1
92,"DonSaudHD
4176","Top 1%


4,176",178,1
94,"Grundlenorf
4172","Top 1%


4,172",24,1
95,"serx183
4171","Top 1%


4,171",253,1
96,"Kayeose
4169","Top 1%


4,169",91,1
97,"BurberryAaron
4168","Top 1%


4,168",157,1
97,"Tisumi___
4168","Top 1%


4,168",23,1
97,"Sboy022002
4168","Top 1%


4,168",18,1
100,"b0ng_Tastic420
4166","Top 1%


4,166",67,1
100,"b0ng_Tastic420
4166","Top 1%


4,166",67,2
102,"Swishy_SimmonZ
4162","4,162",15,2
102,"aqrat
4162","4,162",22,2
102,"surpboy
4162","4,162",54,2
102,"fashionqueenxoxo
4162","4,162",403,2
106,"Lunaryes
4160","4,160",59,2
106,"Maranata01
4160","4,160",88,2
108,"INCBUSTV
4157","4,157",74,2
109,"PF_Kabaji
4156","4,156",178,2
110,"Nike_Ramos
4154","4,154",189,2
110,"M--Xavier
4154","4,154",381,2
112,"SirSuro
4153","4,153",69,2
113,"NTrySoft
4151","4,151",136,2
114,"jonathan1058
4150","4,150",75,2
115,"aurorus-_
4149","4,149",126,2
116,"xSlopzzz
4148","4,148",182,2
116,"aBsTrAcT_Hazza
4148","4,148",262,2
118,"MrCaliiber
4146","4,146",246,2
119,"MT-Dew-_-Crystal
4145","4,145",73,2
120,"JohnnySinsPog
4144","4,144",92,2
121,"Sxyul
4141","4,141",62,2
121,"Esteban_C15
4141","4,141",56,2
123,"mopymopemop
4140","4,140",42,2
124,"Bow20k
4135","4,135",193,2
124,"Ameer-Bo3
4135","4,135",320,2
126,"VengefulZarya
4133","4,133",29,2
126,"PoP_CandiiGirl99
4133","4,133",65,2
126,"Reaperkill-
4133","4,133",81,2
126,"kris-unoffical
4133","4,133",96,2
130,"XxCliqueModzxX
 4132","4,132",47,2
131,"UnknownStrategy
4131","4,131",160,2
132,"Mercywatch
4130","4,130",73,2
132,"Kittin_Mittenz
4130","4,130",68,2
134,"xmb1k
4129","4,129",50,2
134,"cadence0409
4129","4,129",167,2
134,"BronzeBuns
4129","4,129",96,2
137,"GhostKillSkull
4128","4,128",54,2
137,"AssBabyFeelDat
4128","4,128",112,2
139,"IInfiniteVision
4127","4,127",58,2
139,"dark_phoeinix
4127","4,127",103,2
141,"BooomHK
4122","4,122",35,2
142,"yazeed-Alhrbi-18
4121","4,121",56,2
143,"Sleepy_ByeBye
4118","4,118",43,2
143,"The_Endis_Near_
4118","4,118",119,2
143,"as_Bernie
4118","4,118",60,2
146,"HellaSlatt
4117","4,117",24,2
147,"i9_rahbii_7i
4116","4,116",63,2
147,"Reece_Owen_
4116","4,116",53,2
149,"Embleu
4115","4,115",461,2
150,"ShayUAE66
4114","4,114",88,2
150,"Farooster
4114","4,114",124,2
150,"Ethan880019
4114","4,114",97,2
153,"xCayne
4112","4,112",79,2
154,"ZyNc_knight
4110","4,110",247,2
154,"KerroZxL
4110","4,110",22,2
156,"Xx-AzaZel25-xX
4108","4,108",41,2
156,"deadshadow02
4108","4,108",128,2
158,"Fannez-
4107","4,107",103,2
159,"MrChxrm
4106","4,106",159,2
160,"SwooPxr
4105","4,105",71,2
160,"W-Legendary-W
4105","4,105",90,2
162,"DJRory_
4104","4,104",221,2
163,"jujy0531
4103","4,103",153,2
163,"kckr-4
4103","4,103",99,2
165,"Jonny99
4101","4,101",269,2
165,"PRM3600
4101","4,101",225,2
167,"ILoveCodcode904
4099","4,099",58,2
167,"SoliverZ
4099","4,099",138,2
169,"laframboise_6
4098","4,098",71,2
169,"Unbound-Slayer-
4098","4,098",88,2
169,"Arepa_2TM
4098","4,098",74,2
169,"Smaxsh
4098","4,098",422,2
173,"WistlerOW
4097","4,097",27,2
173,"king14171
4097","4,097",59,2
173,"SMPPKurek
4097","4,097",25,2
176,"SeulnUu
4096","4,096",97,2
177,"redpepper361
4095","4,095",72,2
178,"jojo102494
4093","4,093",53,2
179,"Dragun_Ryder2
4092","4,092",40,2
179,"x3piCKiLLer79x
4092","4,092",17,2
181,"Chhooon
4091","4,091",251,2
181,"ConfusedeBlonde
4091","4,091",65,2
183,"akiboy05
4090","4,090",348,2
183,"DatChicagoKid
4090","4,090",290,2
183,"TripleWhiteTNs
4090","4,090",66,2
186,"ZPRN
4089","4,089",51,2
186,"Marifer24
4089","4,089",329,2
188,"Tektronix_Ice
4085","4,085",139,2
188,"iHidz
4085","4,085",30,2
190,"Taterballs69
4084","4,084",170,2
190,"Miiwry
4084","4,084",354,2
192,"ozdemir-2003
4083","4,083",27,2
193,"chiefnhey
4082","4,082",85,2
193,"Cypher_Corb
4082","4,082",71,2
193,"AustinMinaj
4082","4,082",237,2
196,"BrownnGirls
4081","4,081","1,010",2
197,"King_Killa111237
4080","4,080",53,2
197,"poke-oni
4080","4,080",95,2
199,"DENIS96177
4079","4,079",205,2
199,"JolloDrollo
4079","4,079",49,2
201,"Soccer_Taco234
4078","4,078",125,3
202,"quesofries
4076","4,076",61,3
203,"bbyllama
4073","4,073",119,3
203,"maniac123mc
4073","4,073",68,3
205,"d3koyz
4072","4,072",34,3
205,"Xternel
4072","4,072",65,3
205,"o_JCVstealth_o
4072","4,072",184,3
208,"A547396
4071","4,071",187,3
208,"KiloPanda
4071","4,071",21,3
208,"HexaRyeN
4071","4,071",185,3
211,"Kabliv2
4070","4,070",44,3
211,"B_WildiN473
4070","4,070",113,3
211,"Muccree
4070","4,070",97,3
214,"DSPPauly
4069","4,069",122,3
214,"Mugger17
4069","4,069",77,3
214,"okyouwait
4069","4,069",82,3
217,"S-C-J53
4068","4,068",123,3
217,"ZENTORYUM
4068","4,068",60,3
219,"ManBearPig258126
4067","4,067",400,3
220,"ThePhoenixGam3r_
4063","4,063",43,3
220,"GenkiOW
4063","4,063",179,3
220,"MiSHari-ak
4063","4,063",315,3
223,"Uhtherside
4061","4,061",29,3
223,"DestroyersAlive
4061","4,061",333,3
225,"JDogg2168
4060","4,060",301,3
226,"Keegan330
4059","4,059",37,3
227,"NoSwitchWidow
4056","4,056",73,3
228,"ConjuredDevil
4055","4,055",166,3
229,"Plugesal
4054","4,054",35,3
229,"itsEventful
4054","4,054",83,3
231,"BiTxE_-
4053","4,053",27,3
231,"zFuZzi0nXx
4053","4,053",35,3
233,"zerokillermarine
4051","4,051",92,3
233,"Narutooo-Kuuun
4051","4,051",86,3
233,"YahBoySean
4051","4,051",214,3
233,"HellaBlood
4051","4,051",41,3
237,"MrNoGuts-
4050","4,050",269,3
238,"ModdedJoker
4049","4,049",44,3
239,"DPS-QUEEN
4048","4,048",87,3
239,"matamerik4a
4048","4,048",22,3
239,"JayHitEmUp_35-
4048","4,048",59,3
239,"VxsKn
4048","4,048",107,3
243,"Honeyless
4047","4,047",84,3
243,"CoreyHatesYou
 4047","4,047",127,3
243,"Baconwiggles-_-
4047","4,047",122,3
243,"buttonsmasher03
4047","4,047",133,3
247,"IM_A_SMURF_XD_XD
4046","4,046",60,3
248,"TheCookieTroller
4045","4,045",118,3
249,"Tommy_Kikii
4044","4,044",416,3
249,"xlnterstellar
4044","4,044",150,3
249,"OG_VersaceZ
4044","4,044",45,3
252,"Graxious
4043","4,043",111,3
252,"ALBRHY1-
4043","4,043",174,3
254,"SuperTical
4042","4,042",201,3
254,"itzmjs
4042","4,042",44,3
254,"Proximity_Hazard
4042","4,042",101,3
254,"miracle_zerix
4042","4,042",984,3
258,"ChickenMix-76
4041","4,041",94,3
258,"BewareImIngorant
4041","4,041",21,3
260,"MW2isaBEAST
4040","4,040",74,3
260,"DnL_Catoprion
4040","4,040",28,3
260,"bmaynard23
4040","4,040",38,3
260,"RedAceXIII
4040","4,040",31,3
264,"YahuThe7th
4039","4,039",28,3
264,"NateVodka25
4039","4,039",23,3
264,"zeldalink1991
4039","4,039",16,3
267,"UrSugarDaddy_
4038","4,038",158,3
267,"aq_lk
4038","4,038",69,3
267,"Mayhem-96-
4038","4,038",131,3
267,"GuusG97
4038","4,038",142,3
271,"DESTROYER150899
4037","4,037",112,3
271,"Po-yo9
4037","4,037",30,3
271,"BDQ17
4037","4,037",104,3
271,"moe82c
4037","4,037",73,3
275,"MarceL0_-0_0
4036","4,036",231,3
276,"FriskyFatty
4035","4,035",73,3
276,"IGarros
4035","4,035",117,3
276,"Ktenologist
4035","4,035",80,3
276,"UkAziz
4035","4,035",103,3
280,"DeadlyAztec11
4034","4,034",104,3
280,"Min-Min726
4034","4,034",204,3
280,"Gcarmine21
4034","4,034",140,3
280,"WhyAmISmurfing
4034","4,034",17,3
284,"Clanegan
4033","4,033",211,3
285,"swiperman2002
4032","4,032",32,3
285,"FelpsHa
4032","4,032",202,3
285,"GamesGhoul
4032","4,032",31,3
288,"hotsaucehog
4031","4,031",225,3
288,"ByTwixyy
4031","4,031",145,3
288,"Decxry
4031","4,031",198,3
288,"Rose_uzumaki
4031","4,031",324,3
288,"osamakiller10566
4031","4,031",115,3
293,"FRUITYxPANDA
4030","4,030",147,3
293,"Purkey2
4030","4,030",75,3
295,"SnA-Pingu
4029","4,029",135,3
295,"Riiima__
4029","4,029",153,3
295,"Hydrozee_
4029","4,029",438,3
295,"Swegosity
4029","4,029",41,3
299,"GM_withMercy
4028","4,028",65,3
299,"JayyLimits
4028","4,028",341,3
299,"JayyLimits
4028","4,028",341,4
299,"Kryptiks_v2
4028","4,028",35,4
299,"PowerNaps-
4028","4,028",333,4
299,"GM_withMercy
4028","4,028",65,4
305,"clubwestferry
4027","4,027",372,4
305,"alms3di
4027","4,027",234,4
305,"sebastianwillia4
4027","4,027",241,4
305,"RabbitInbound
4027","4,027",63,4
305,"Xxshadow_415xX
4027","4,027",125,4
310,"zaioslayer
4026","4,026",46,4
310,"Hector_RO99
4026","4,026",497,4
310,"josecervantes678
4026","4,026",227,4
310,"PJROCKINSTAN
4026","4,026",77,4
314,"OuO_HAPPY_FACE
4025","4,025",32,4
314,"aravex
4025","4,025",52,4
314,"XanFreakk
4025","4,025",99,4
314,"Xx_Chrome_SMG_xX
4025","4,025",31,4
